gene_id	H1_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	hESC_Derived_CD184_Endoderm_Cultured_Cells	hESC_Derived_CD56_Ectoderm_Cultured_Cells	hESC_Derived_CD56_Mesoderm_Cultured_Cells	HUES64_Cell_Line	ESC_4star	Breast_Myoepithelial_Cells	Breast_vHMEC	CD4_Memory_Primary_Cells	CD4_Naive_Primary_Cells	CD8_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Female	Neurosphere_Cultured_Cells_Cortex_Derived	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Peripheral_Blood_Mononuclear_Primary_Cells	Aorta	Adult_Liver	Brain_Germinal_Matrix	Brain_Hippocampus_Middle	Esophagus	Fetal_Brain_Female	Fetal_Intestine_Large	Fetal_Intestine_Small	Pancreatic_Islets	Gastric	Left_Ventricle	Lung	Ovary	Pancreas	Psoas_Muscle	Right_Atrium	Right_Ventricle	Sigmoid_Colon	Small_Intestine	Thymus	Spleen	A549_EtOH_002_pct_Lung_Carcinoma	GM12878_Lymphoblastoid	Hela_S3_Cervical_Carcinoma	HepG2_Hepatocellular_Carcinoma	HMEC_Mammary_Epithelial	HSMM_Skeletal_Muscle_Myoblasts	HUVEC_Umbillical_Vein_Endothelial_Cells	K562_Leukemia	NHEK_Epidermal_Keratinocytes	NHLF_Lung_Fibroblasts
ENSG00000133226	105	90	62	34	97	44	49	31	39	93	54	34	68	60	66	33	28	27	32	53	61	60	12	29	51	12	17	43	50	17	25	26	24	43	12	10	22	28	21	11	14	16	16	16	29	21	16	13	17	12	17	15	9	27	15	15
ENSG00000182771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	4	5	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228078	0	0	0	0	0	1	0	0	0	0	1	15	12	9	9	0	0	0	0	11	22	0	0	5	11	0	27	0	1	1	0	2	1	8	0	0	0	0	0	0	0	0	2	2	1	0	0	21	0	1	17	0	0	0	0	0
ENSG00000131584	4	3	8	9	6	15	9	8	6	5	1	2	10	11	12	6	19	43	9	12	9	6	21	12	12	5	1	33	38	38	47	15	12	13	26	13	17	13	73	7	15	25	13	12	23	34	1	1	4	13	6	4	11	4	7	4
ENSG00000198925	29	15	21	16	15	18	14	15	14	25	26	19	23	19	21	12	38	28	31	35	31	20	72	52	23	9	14	17	21	24	23	17	17	17	9	45	20	22	18	44	26	42	20	24	15	13	28	7	14	71	26	23	49	22	15	15
ENSG00000175356	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	3	0	0	0	2	1	4	0	2	1	4	8	0	0	0	16	1	0	0	1	4	1	2	0	0	0	0	0	0	0	0	0	0
ENSG00000166595	53	54	43	68	62	62	42	66	53	46	183	96	44	41	38	33	75	70	86	113	125	67	127	68	39	149	248	152	188	113	75	43	41	67	168	316	194	110	77	266	165	457	113	144	96	110	96	106	107	254	131	101	240	128	87	69
ENSG00000160216	2	3	3	16	2	6	3	3	1	0	7	8	13	11	11	6	17	16	17	16	14	11	19	22	16	6	12	7	19	10	11	18	19	10	10	18	14	6	13	22	16	11	15	16	8	11	6	12	5	11	4	8	17	14	7	12
ENSG00000086062	13	13	81	42	10	19	8	32	12	10	127	83	99	41	69	14	3	2	44	59	111	68	30	34	128	18	54	3	4	35	2	67	65	29	43	23	30	37	16	16	24	26	82	44	33	32	124	25	123	33	61	62	54	8	52	38
ENSG00000175166	47	63	68	41	44	67	70	100	84	67	105	65	34	27	27	38	77	64	95	137	265	170	90	67	36	37	27	37	37	33	49	28	25	39	47	94	31	34	20	230	44	74	44	46	24	33	84	38	96	44	173	99	102	93	201	91
ENSG00000169955	5	5	3	3	8	7	8	4	6	7	5	3	5	9	10	9	5	5	7	4	6	5	10	10	6	9	9	5	6	9	8	7	9	9	14	10	10	15	9	15	11	10	10	9	10	12	4	3	8	8	5	4	7	3	3	3
ENSG00000242396	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	5	9	6	7	3	0	0	4	0	0	0	1	0	0	1	2	6	8	0	3	0	3	0	1	1	0	1	2	4	0	0	0	1	0	0	2	0	0	1	0	0
ENSG00000213995	15	17	13	11	14	14	13	10	12	11	17	11	25	28	27	9	20	22	18	12	11	11	12	18	18	20	40	23	28	26	26	20	19	31	40	16	24	41	43	19	17	23	22	22	37	35	11	24	19	23	16	16	33	16	14	14
ENSG00000106367	22	10	37	43	35	31	22	47	33	8	6	55	2	2	1	12	36	32	52	75	71	41	101	42	3	31	32	32	47	32	53	22	25	14	64	17	64	21	41	8	13	19	58	82	38	38	49	60	58	35	124	37	48	66	157	67
ENSG00000169174	43	24	0	2	12	20	2	2	13	23	0	2	0	0	0	0	0	0	1	5	155	65	4	0	0	0	3	0	0	2	5	1	1	1	2	0	12	0	4	0	0	0	27	18	0	0	1	0	26	46	40	0	0	25	49	0
ENSG00000250606	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	11085	7	0	0	0	5100	0	0	0	0	53	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217325	2	3	1	1	1	7	4	3	7	13	10	6	2	1	1	3	6	5	10	19	20	8	16	7	5	0	7	3	5	1	5	9	11	6	3	1	1	1	2	1	0	3	4	3	1	4	6	10	6	8	15	10	19	12	10	5
ENSG00000236739	1	2	2	2	1	15	12	12	14	13	16	2	0	0	0	2	2	4	8	3	1	5	1	7	0	0	0	5	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0
ENSG00000072135	4	4	4	7	9	3	4	2	2	3	3	6	23	13	15	18	6	3	16	15	10	7	22	20	61	18	10	10	14	13	13	14	15	22	27	6	26	10	50	2	6	9	42	26	14	78	5	12	5	13	12	9	15	18	3	5
ENSG00000109111	25	33	41	35	20	32	40	26	33	43	64	46	77	70	66	45	60	59	56	48	37	36	37	40	67	31	21	28	38	37	34	40	44	36	31	33	39	40	74	62	32	26	34	29	27	35	41	25	27	35	29	32	31	30	29	30
ENSG00000138496	2	1	0	6	0	0	0	0	0	0	1	6	12	14	12	11	2	2	2	1	9	13	2	5	12	6	13	1	4	6	0	9	6	27	9	2	11	5	9	3	3	3	13	11	15	18	3	51	6	3	2	5	3	1	22	13
ENSG00000140538	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	2	0	3	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0
ENSG00000119689	22	22	16	18	20	30	31	32	36	20	27	58	49	49	49	42	34	29	66	48	39	27	47	30	37	28	34	24	14	34	25	36	34	13	43	72	27	33	22	64	55	58	57	59	30	34	47	57	51	51	64	53	45	36	59	72
ENSG00000139131	24	28	15	11	13	15	16	18	24	20	23	13	12	12	12	16	6	7	13	8	24	25	11	11	7	4	6	9	6	8	5	11	10	7	10	9	10	9	7	14	9	8	12	14	10	12	23	21	25	14	25	10	19	25	26	9
ENSG00000135272	5	9	5	12	8	8	6	19	8	1	2	5	30	26	12	16	3	3	17	9	3	6	6	14	15	13	5	2	3	13	0	7	5	5	10	9	14	10	4	4	8	9	6	4	13	33	14	31	15	0	6	8	2	0	3	21
ENSG00000166317	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	118	0	0	0	45	184	84	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ENSG00000088833	17	20	15	15	21	17	16	12	16	12	36	15	9	8	7	20	14	14	10	16	24	18	11	14	9	17	16	22	28	17	19	12	12	12	17	15	15	18	11	34	12	18	13	20	15	18	11	5	3	10	9	13	11	8	9	6
ENSG00000247373	0	0	0	0	0	0	0	0	0	0	0	10	5	4	5	9	1	1	1	0	0	0	0	0	6	5	0	0	0	1	0	17	21	0	2	0	1	1	2	3	1	1	1	3	1	1	0	1	2	1	0	0	0	2	0	0
ENSG00000166897	0	0	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	8	13	0	25	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
ENSG00000128692	143	205	108	128	95	37	32	49	51	54	121	109	16	19	16	30	22	20	60	20	36	83	13	22	17	37	56	22	101	15	19	21	20	29	43	28	21	16	8	90	18	31	27	45	21	21	101	71	104	56	44	52	21	80	55	62
